タブ,,,,,,,,ID,項目名,表示条件,値,選択要素,規定値,最小値,最大値,型,小数点以下,単位,備考
,,,,○,,,,cs_dc_cpl2_value,消費電力量補正係数(風量補正あり) ,「風量補正」=2,,,1.40,1.00,9.99,decimal,2,-,
,,○,,,,,,cs_ldk_type,主たる居室　冷房設備機器の種類,「冷房方式の選択」=2,1,ルームエアコンディショナー,1,1,3,short,,,
,,,,,,,,,,,3,その他の設備機器,,,,,,,
,,,,,,,,,,,2,冷房設備機器を設置しない,,,,,,,
,,,○,,,,,cs_ldk_type1_houhou,省エネルギー対策の有無および種類,「冷房設備機器の選択　主たる居室」=1,1,特に省エネルギー対策をしていない,1,1,2,short,,,
,,,,,,,,,,,2,エネルギー消費効率の区分を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,○,,,,cs_ldk_aircon_koukouritsu,エネルギー消費効率の区分,「省エネルギー対策の有無および種類」=2,1,区分（い）,3,1,3,short,,,
,,,,,,,,,,,2,区分（ろ）,,,,,,,
,,,,,,,,,,,3,区分（は）,,,,,,,
,,,,○,,,,cs_ldk_aircon_dualcompressor,容量可変型コンプレッサー,「省エネルギー対策の有無および種類」=2,1,搭載しない,1,1,2,short,,,
,,,,,,,,,,,2,搭載する,,,,,,,
,,,○,,,,,,その他の設備機器の名称,「冷房設備・機器の選択　主たる居室」=3,,,-,,,text,,,
,,○,,,,,,cs_nldk_type,その他の居室　冷房設備機器の種類,「冷房方式の選択」=2,1,ルームエアコンディショナー,1,1,3,short,,,
,,,,,,,,,,,3,その他の設備機器,,,,,,,
,,,,,,,,,,,2,冷房設備機器を設置しない,,,,,,,
,,,○,,,,,cs_nldk_type1_houhou,省エネルギー対策の有無および種類,「冷房設備機器の選択　その他の居室」=1,1,特に省エネルギー対策をしていない,1,1,2,short,,,
,,,,,,,,,,,2,エネルギー消費効率の区分を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,○,,,,cs_nldk_aircon_koukouritsu,エネルギー消費効率の区分,「省エネルギー対策の有無および種類」=2,1,区分（い）,3,1,3,short,,,
,,,,,,,,,,,2,区分（ろ）,,,,,,,
,,,,,,,,,,,3,区分（は）,,,,,,,
,,,,○,,,,cs_nldk_aircon_dualcompressor,容量可変型コンプレッサー,「省エネルギー対策の有無および種類」=2,1,搭載しない,1,1,2,short,,,
,,,,,,,,,,,2,搭載する,,,,,,,
,,,○,,,,,,その他の設備機器の名称,「冷房設備機器の選択　主たる居室」=3,,,-,,,text,,,
換気,○,,,,,,,vn_houshiki,換気設備の方式,,1,ダクト式第1種換気設備,2,1,4,short,,,
,,,,,,,,,,,5,ダクト式第1種換気設備(熱交換あり),,,,,,,
,,,,,,,,,,,2,ダクト式第2種または第3種換気設備,,,,,,,
,,,,,,,,,,,6,壁掛け式第1種換気設備(熱交換あり),,,,,,,
,,,,,,,,,,,3,壁付け式第1種換気設備,,,,,,,
,,,,,,,,,,,4,壁付け式第2種換気設備または壁付け式第3種換気設備,,,,,,,
,○,,,,,,,vn_houhou,省エネルギー対策の有無および評価の方法,"「換気設備の方式」=1,2",1,特に省エネルギー対策をしていない,3,1,3,short,,,
,,,,,,,,,,,2,採用した省エネルギー手法を選択し省エネルギーを評価する,,,,,,,
,,,,,,,,,,,3,比消費電力を入力することにより省エネルギー効果を評価する,,,,,,,
,,○,,,,,,vn_method1,【手法1】ダクト等の圧力損失低減,「省エネルギー対策の有無および評価の方法」=2,1,採用する,-,1,2,short,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,,〇,,,,,vn_method2,【手法2】 高効率機器の導⼊,「ダクト等の圧力損失低減」=1,1,採用する,,,,,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,○,,,,,,vn_method3,【手法3】 熱交換型換気システムの夏期・中間期の効率的運転,「省エネルギー対策の有無および評価の方法」=2,1,採用する,,,,,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,,〇,,,,,vn_method4,【手法4】 温度差利用型ハイブリッド換気,「ダクト等の圧力損失低減」=1,1,採用する,,,,,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,○,,,,,,vn_method5,【手法5】ファンと屋外端末の組み合わせの適正化,「省エネルギー対策の有無および評価の方法」=2,1,採用する,,,,,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,○,,,,,,vn_hishohidenryoku,比消費電力,「省エネルギー対策の有無および評価の方法」=3,,,0.30,0.01,2.00,decimal,2,W/(m3/h),
,○,,,,,,,vn_freq,換気回数,,1,0.5回/h,1,1,3,short,,,
,,,,,,,,,,,2,0.7回/h,,,,,,,
,,,,,,,,,,,3,0.0回/h,,,,,,,
