Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
7,Cooling,25,2to3,0.920777733,0.929655197,0.917147773,0.908429598,0.892727303,0.911047682,0.915706677,0.928592939
7,Cooling,19,2to3,0.893879939,0.904445834,0.881514952,0.878891453,0.856568062,0.879004631,0.88085108,0.904251439
7,Cooling,13,2to3,0.840844672,0.85285066,0.813322034,0.810897479,0.788180732,0.818556527,0.809001337,0.851064524
7,Cooling,9,2to3,0.770166607,0.775710604,0.709589934,0.723368847,0.694034085,0.720574385,0.707039872,0.774630871
7,Cooling,7,2to3,0.710295134,0.701463101,0.61977567,0.63815017,0.615240095,0.638714669,0.613201679,0.700428658
7,Cooling,6,2to3,0.674218178,0.652365883,0.554653559,0.587282658,0.566374532,0.586661816,0.552818697,0.650175047
7,Cooling,5,2to3,0.627759486,0.582809701,0.481018108,0.515938252,0.503553505,0.512287011,0.467995579,0.577657456
7,Cooling,4,2to3,0.55969221,0.489122885,0.382930013,0.428892738,0.428652705,0.424056705,0.388956637,0.481886424
7,Cooling,3,2to3,0.448616938,0.357201756,0.287671257,0.31780983,0.327276844,0.310812242,0.274371693,0.353048513
7,Cooling,2,2to3,0.287725614,0.198453695,0.155050061,0.180876589,0.202068169,0.178405722,0.155407694,0.197517385
7,Cooling,1,2to3,0.129908826,0.058994936,0.054857348,0.061422893,0.088390777,0.058978252,0.046337848,0.060411052
7,Cooling,40,3to3,0.964661061,0.969213597,0.968888499,0.962872796,0.954133486,0.964671356,0.968809189,0.969168998
7,Cooling,25,3to3,0.952366335,0.959749394,0.957432529,0.950108064,0.941612936,0.955120362,0.958889855,0.959321937
7,Cooling,19,3to3,0.940119018,0.949808839,0.946533957,0.938130582,0.92800008,0.944219534,0.949452962,0.949532331
7,Cooling,13,3to3,0.915298332,0.928843407,0.925741406,0.916979068,0.897793082,0.917805959,0.924842941,0.929377837
7,Cooling,9,3to3,0.881591757,0.899535109,0.88879562,0.882301051,0.856248315,0.885073235,0.892145645,0.901725232
7,Cooling,7,3to3,0.852032849,0.87286073,0.856079353,0.844104589,0.818744724,0.851283728,0.859078913,0.874722188
